SAMN14236671	SRR11196339_1.fastq.gz	SRR11196339_2.fastq.gz
SAMN14236669	SRR11196341_1.fastq.gz	SRR11196341_2.fastq.gz
SAMN14236665	SRR11196345_1.fastq.gz	SRR11196345_2.fastq.gz
SAMN14236664	SRR11196346_1.fastq.gz	SRR11196346_2.fastq.gz
SAMN29477922	SRR24048108_1.fastq.gz	SRR24048108_2.fastq.gz
SAMN29477825	SRR24048109_1.fastq.gz	SRR24048109_2.fastq.gz
SAMN29477844	SRR24048118_1.fastq.gz	SRR24048118_2.fastq.gz
SAMN29477816	SRR24048125_1.fastq.gz	SRR24048125_2.fastq.gz
SAMN29477923	SRR24048143_1.fastq.gz	SRR24048143_2.fastq.gz
SAMN31562364	SRR24048922_1.fastq.gz	SRR24048922_2.fastq.gz
SAMN14327705	SRR8762523_1.fastq.gz	SRR8762523_2.fastq.gz
SAMN14328091	SRR8762607_1.fastq.gz	SRR8762607_2.fastq.gz
SAMN14327777	SRR8763049_1.fastq.gz	SRR8763049_2.fastq.gz
SAMN47003698	SRR32686225_1.fastq.gz	SRR32686225_2.fastq.gz
SAMN47003699	SRR32686228_1.fastq.gz	SRR32686228_2.fastq.gz
SAMN37746679	SRR26333261_1.fastq.gz	SRR26333261_2.fastq.gz
SAMN37746681	SRR26333263_1.fastq.gz	SRR26333263_2.fastq.gz
SAMN37746682	SRR26333264_1.fastq.gz	SRR26333264_2.fastq.gz
SAMN37746684	SRR26333266_1.fastq.gz	SRR26333266_2.fastq.gz
SAMN37746688	SRR26333270_1.fastq.gz	SRR26333270_2.fastq.gz
SAMN37746689	SRR26333271_1.fastq.gz	SRR26333271_2.fastq.gz
SAMN37746690	SRR26333272_1.fastq.gz	SRR26333272_2.fastq.gz
SAMN37746691	SRR26333273_1.fastq.gz	SRR26333273_2.fastq.gz
SAMN37746692	SRR26333274_1.fastq.gz	SRR26333274_2.fastq.gz
SAMN37746693	SRR26333275_1.fastq.gz	SRR26333275_2.fastq.gz
SAMN37746694	SRR26333276_1.fastq.gz	SRR26333276_2.fastq.gz
SAMN37746695	SRR26333277_1.fastq.gz	SRR26333277_2.fastq.gz
SAMN37746696	SRR26333278_1.fastq.gz	SRR26333278_2.fastq.gz
SAMN37746697	SRR26333279_1.fastq.gz	SRR26333279_2.fastq.gz
SAMN37746698	SRR26333280_1.fastq.gz	SRR26333280_2.fastq.gz
SAMN37746699	SRR26333281_1.fastq.gz	SRR26333281_2.fastq.gz
SAMN37746700	SRR26333282_1.fastq.gz	SRR26333282_2.fastq.gz
SAMN37746701	SRR26333283_1.fastq.gz	SRR26333283_2.fastq.gz
SAMN37746702	SRR26333284_1.fastq.gz	SRR26333284_2.fastq.gz
SAMN37746704	SRR26333286_1.fastq.gz	SRR26333286_2.fastq.gz
SAMN37746709	SRR26333291_1.fastq.gz	SRR26333291_2.fastq.gz
SAMN37746711	SRR26333293_1.fastq.gz	SRR26333293_2.fastq.gz
SAMN37746712	SRR26333294_1.fastq.gz	SRR26333294_2.fastq.gz
SAMN37746715	SRR26333297_1.fastq.gz	SRR26333297_2.fastq.gz
SAMN37746716	SRR26333298_1.fastq.gz	SRR26333298_2.fastq.gz
SAMN37746717	SRR26333299_1.fastq.gz	SRR26333299_2.fastq.gz
SAMN37746723	SRR26333305_1.fastq.gz	SRR26333305_2.fastq.gz
SAMN37746724	SRR26333306_1.fastq.gz	SRR26333306_2.fastq.gz
SAMN37746639	SRR26333221_1.fastq.gz	SRR26333221_2.fastq.gz
SAMN37746640	SRR26333222_1.fastq.gz	SRR26333222_2.fastq.gz
SAMN37746641	SRR26333223_1.fastq.gz	SRR26333223_2.fastq.gz
SAMN37746642	SRR26333224_1.fastq.gz	SRR26333224_2.fastq.gz
SAMN37746643	SRR26333225_1.fastq.gz	SRR26333225_2.fastq.gz
SAMN37746647	SRR26333229_1.fastq.gz	SRR26333229_2.fastq.gz
SAMN37746648	SRR26333230_1.fastq.gz	SRR26333230_2.fastq.gz
SAMN37746649	SRR26333231_1.fastq.gz	SRR26333231_2.fastq.gz
SAMN37746651	SRR26333233_1.fastq.gz	SRR26333233_2.fastq.gz
SAMN37746652	SRR26333234_1.fastq.gz	SRR26333234_2.fastq.gz
SAMN37746653	SRR26333235_1.fastq.gz	SRR26333235_2.fastq.gz
SAMN37746654	SRR26333236_1.fastq.gz	SRR26333236_2.fastq.gz
SAMN37746655	SRR26333237_1.fastq.gz	SRR26333237_2.fastq.gz
SAMN37746656	SRR26333238_1.fastq.gz	SRR26333238_2.fastq.gz
SAMN37746657	SRR26333239_1.fastq.gz	SRR26333239_2.fastq.gz
SAMN37746658	SRR26333240_1.fastq.gz	SRR26333240_2.fastq.gz
SAMN37746659	SRR26333241_1.fastq.gz	SRR26333241_2.fastq.gz
SAMN37746660	SRR26333242_1.fastq.gz	SRR26333242_2.fastq.gz
SAMN37746661	SRR26333243_1.fastq.gz	SRR26333243_2.fastq.gz
SAMN37746662	SRR26333244_1.fastq.gz	SRR26333244_2.fastq.gz
SAMN37746663	SRR26333245_1.fastq.gz	SRR26333245_2.fastq.gz
SAMN37746664	SRR26333246_1.fastq.gz	SRR26333246_2.fastq.gz
SAMN37746667	SRR26333249_1.fastq.gz	SRR26333249_2.fastq.gz
SAMN37746674	SRR26333256_1.fastq.gz	SRR26333256_2.fastq.gz
SAMN37746678	SRR26333260_1.fastq.gz	SRR26333260_2.fastq.gz
