SAMN26646191	SRR18319466_1.fastq.gz	SRR18319466_2.fastq.gz
SAMN26646183	SRR18319474_1.fastq.gz	SRR18319474_2.fastq.gz
SAMN26646181	SRR18319477_1.fastq.gz	SRR18319477_2.fastq.gz
SAMN26646171	SRR18319488_1.fastq.gz	SRR18319488_2.fastq.gz
SAMN26646169	SRR18319490_1.fastq.gz	SRR18319490_2.fastq.gz
SAMN26646167	SRR18319492_1.fastq.gz	SRR18319492_2.fastq.gz
SAMN26646127	SRR18319497_1.fastq.gz	SRR18319497_2.fastq.gz
SAMN26646161	SRR18319499_1.fastq.gz	SRR18319499_2.fastq.gz
SAMN26646141	SRR18319521_1.fastq.gz	SRR18319521_2.fastq.gz
SAMN26646199	SRR18319533_1.fastq.gz	SRR18319533_2.fastq.gz
SAMN26646179	SRR18319479_1.fastq.gz	SRR18319479_2.fastq.gz
SAMN26646177	SRR18319481_1.fastq.gz	SRR18319481_2.fastq.gz
SAMN26646165	SRR18319494_1.fastq.gz	SRR18319494_2.fastq.gz
SAMN26646163	SRR18319496_1.fastq.gz	SRR18319496_2.fastq.gz
SAMN26646159	SRR18319501_1.fastq.gz	SRR18319501_2.fastq.gz
SAMN26646157	SRR18319503_1.fastq.gz	SRR18319503_2.fastq.gz
SAMN26646143	SRR18319518_1.fastq.gz	SRR18319518_2.fastq.gz
SAMN26646125	SRR18319519_1.fastq.gz	SRR18319519_2.fastq.gz
SAMN26646135	SRR18319527_1.fastq.gz	SRR18319527_2.fastq.gz
SAMN26646197	SRR18319535_1.fastq.gz	SRR18319535_2.fastq.gz
SAMN26646133	SRR18319541_1.fastq.gz	SRR18319541_2.fastq.gz
SAMN26646123	SRR18319543_1.fastq.gz	SRR18319543_2.fastq.gz
SAMN26646189	SRR18319468_1.fastq.gz	SRR18319468_2.fastq.gz
SAMN26646187	SRR18319470_1.fastq.gz	SRR18319470_2.fastq.gz
SAMN26646185	SRR18319472_1.fastq.gz	SRR18319472_2.fastq.gz
SAMN26646155	SRR18319505_1.fastq.gz	SRR18319505_2.fastq.gz
SAMN26646153	SRR18319507_1.fastq.gz	SRR18319507_2.fastq.gz
SAMN26646149	SRR18319512_1.fastq.gz	SRR18319512_2.fastq.gz
SAMN26646147	SRR18319514_1.fastq.gz	SRR18319514_2.fastq.gz
SAMN26646139	SRR18319523_1.fastq.gz	SRR18319523_2.fastq.gz
SAMN26646137	SRR18319525_1.fastq.gz	SRR18319525_2.fastq.gz
SAMN26646131	SRR18319529_1.fastq.gz	SRR18319529_2.fastq.gz
SAMN26646201	SRR18319531_1.fastq.gz	SRR18319531_2.fastq.gz
SAMN26646193	SRR18319539_1.fastq.gz	SRR18319539_2.fastq.gz
SAMN02673190	SRR1182644_1.fastq.gz,SRR1182645_1.fastq.gz	SRR1182644_2.fastq.gz,SRR1182645_2.fastq.gz
SAMN26646188	SRR18319469_1.fastq.gz	SRR18319469_2.fastq.gz
SAMN26646184	SRR18319473_1.fastq.gz	SRR18319473_2.fastq.gz
SAMN26646176	SRR18319482_1.fastq.gz	SRR18319482_2.fastq.gz
SAMN26646166	SRR18319493_1.fastq.gz	SRR18319493_2.fastq.gz
SAMN26646164	SRR18319495_1.fastq.gz	SRR18319495_2.fastq.gz
SAMN26646160	SRR18319500_1.fastq.gz	SRR18319500_2.fastq.gz
SAMN26646156	SRR18319504_1.fastq.gz	SRR18319504_2.fastq.gz
SAMN26646142	SRR18319520_1.fastq.gz	SRR18319520_2.fastq.gz
SAMN26646196	SRR18319536_1.fastq.gz	SRR18319536_2.fastq.gz
SAMN26646194	SRR18319538_1.fastq.gz	SRR18319538_2.fastq.gz
SAMN26646130	SRR18319464_1.fastq.gz	SRR18319464_2.fastq.gz
SAMN26646190	SRR18319467_1.fastq.gz	SRR18319467_2.fastq.gz
SAMN26646186	SRR18319471_1.fastq.gz	SRR18319471_2.fastq.gz
SAMN26646174	SRR18319484_1.fastq.gz	SRR18319484_2.fastq.gz
SAMN26646170	SRR18319489_1.fastq.gz	SRR18319489_2.fastq.gz
SAMN26646162	SRR18319498_1.fastq.gz	SRR18319498_2.fastq.gz
SAMN26646150	SRR18319511_1.fastq.gz	SRR18319511_2.fastq.gz
SAMN26646140	SRR18319522_1.fastq.gz	SRR18319522_2.fastq.gz
SAMN26646200	SRR18319532_1.fastq.gz	SRR18319532_2.fastq.gz
SAMN26646198	SRR18319534_1.fastq.gz	SRR18319534_2.fastq.gz
SAMN26646192	SRR18319465_1.fastq.gz	SRR18319465_2.fastq.gz
SAMN26646182	SRR18319476_1.fastq.gz	SRR18319476_2.fastq.gz
SAMN26646180	SRR18319478_1.fastq.gz	SRR18319478_2.fastq.gz
SAMN26646172	SRR18319487_1.fastq.gz	SRR18319487_2.fastq.gz
SAMN26646168	SRR18319491_1.fastq.gz	SRR18319491_2.fastq.gz
SAMN26646158	SRR18319502_1.fastq.gz	SRR18319502_2.fastq.gz
SAMN26646154	SRR18319506_1.fastq.gz	SRR18319506_2.fastq.gz
SAMN26646126	SRR18319508_1.fastq.gz	SRR18319508_2.fastq.gz
SAMN26646146	SRR18319515_1.fastq.gz	SRR18319515_2.fastq.gz
SAMN26646144	SRR18319517_1.fastq.gz	SRR18319517_2.fastq.gz
SAMN26646138	SRR18319524_1.fastq.gz	SRR18319524_2.fastq.gz
SAMN26646136	SRR18319526_1.fastq.gz	SRR18319526_2.fastq.gz
SAMN26646202	SRR18319530_1.fastq.gz	SRR18319530_2.fastq.gz
SAMN26646134	SRR18319540_1.fastq.gz	SRR18319540_2.fastq.gz
